glossary@key,locale,value,key
create-new,en-US,New message,create-new-en-US
create-new,de-DE,Neue Nachricht,create-new-de-DE
new,en-US,New,new-en-US
new,de-DE,Neue,new-de-DE
add,en-US,Add,add-en-US
add,de-DE,Hinzufügen,add-de-DE
remove,en-US,Remove,remove-en-US
remove,de-DE,Entfernen,remove-de-DE
activate-roq-account,en-US,ROQ - Account activate,activate-roq-account-en-US
activate-roq-account,de-DE,ROQ - Konto aktivieren,activate-roq-account-de-DE
confirm-account,en-US,Confirm Account,confirm-account-en-US
confirm-account,de-DE,Konto bestätigen,confirm-account-de-DE
invalid-link-text,en-US,Invitation is no longer valid,invalid-link-text-en-US
invalid-link-text,de-DE,Einladung ist nicht mehr gültig,invalid-link-text-de-DE
sign-in,en-US,Login,sign-in-en-US
sign-in,de-DE,Eintragen,sign-in-de-DE
sign-up,en-US,Sign Up,sign-up-en-US
sign-up,de-DE,Anmeldung,sign-up-de-DE
roq-account-activate-provider-link,en-US,ROQ - Account Activate Provider Link,roq-account-activate-provider-link-en-US
roq-account-activate-provider-link,de-DE,ROQ - Konto aktivieren Provider-Link,roq-account-activate-provider-link-de-DE
confirm-account-provider-link,en-US,Confirm provider link to account,confirm-account-provider-link-en-US
confirm-account-provider-link,de-DE,Anbieterlink zum Konto bestätigen,confirm-account-provider-link-de-DE
provider-linked-account-verified,en-US,Provider link to account verified,provider-linked-account-verified-en-US
provider-linked-account-verified,de-DE,Anbieterlink zum Konto verifiziert,provider-linked-account-verified-de-DE
account-verified,en-US,Account verified,account-verified-en-US
account-verified,de-DE,Konto verifiziert,account-verified-de-DE
reset-password,en-US,Reset Password,reset-password-en-US
reset-password,de-DE,Passwort zurücksetzen,reset-password-de-DE
reset-password-subheading,en-US,"In order to reset your password, please provide registered email address and follow instructions.",reset-password-subheading-en-US
reset-password-subheading,de-DE,"Um Ihr Passwort zurückzusetzen, geben Sie bitte Ihre registrierte E-Mail-Adresse ein und folgen Sie den Anweisungen.",reset-password-subheading-de-DE
reset-password-mail-sent-text,en-US,"If <strong>{{email}}</strong> is registered, we've sent you an email to reset your password. Please follow the instructions in your email inbox.",reset-password-mail-sent-text-en-US
reset-password-mail-sent-text,de-DE,"Wenn <strong>{{email}}</strong>registriert ist, haben wir Ihnen eine E-Mail zum Zurücksetzen Ihres Passworts gesendet. Bitte folgen Sie den Anweisungen in Ihrem E-Mail-Postfach.",reset-password-mail-sent-text-de-DE
mail-not-received-text,en-US,Didn’t receive an email?,mail-not-received-text-en-US
mail-not-received-text,de-DE,Keine E-Mail erhalten?,mail-not-received-text-de-DE
resend-email-cta,en-US,Resend Email,resend-email-cta-en-US
resend-email-cta,de-DE,E-Mail zurücksenden,resend-email-cta-de-DE
resend-email-verification,en-US,Verification Email Resent,resend-email-verification-en-US
resend-email-verification,de-DE,Bestätigungs-E-Mail erneut gesendet,resend-email-verification-de-DE
input.email.name,en-US,Email,input.email.name-en-US
input.email.name,de-DE,E-Mail,input.email.name-de-DE
input.phone.name,en-US,Phone,input.phone.name-en-US
input.phone.name,de-DE,Telefon,input.phone.name-de-DE
input.company.name,en-US,Company,input.company.name-en-US
input.company.name,de-DE,Unternehmen,input.company.name-de-DE
input.position.name,en-US,Position,input.position.name-en-US
input.position.name,de-DE,Position,input.position.name-de-DE
input.street_address.name,en-US,Street Address,input.street_address.name-en-US
input.street_address.name,de-DE,Adresse,input.street_address.name-de-DE
input.zip_code.name,en-US,Zip Code,input.zip_code.name-en-US
input.zip_code.name,de-DE,Postleitzahl,input.zip_code.name-de-DE
input.house_number.name,en-US,House Number,input.house_number.name-en-US
input.house_number.name,de-DE,Hausnummer,input.house_number.name-de-DE
input.city.name,en-US,City,input.city.name-en-US
input.city.name,de-DE,Stadt,input.city.name-de-DE
input.country.name,en-US,Country,input.country.name-en-US
input.country.name,de-DE,Land,input.country.name-de-DE
input.email.placeholder,en-US,Email,input.email.placeholder-en-US
input.email.placeholder,de-DE,E-Mail,input.email.placeholder-de-DE
input.email.validation.required,en-US,E-Mail is a required field,input.email.validation.required-en-US
input.email.validation.required,de-DE,E-Mail ist ein Pflichtfeld,input.email.validation.required-de-DE
input.email.validation.type,en-US,Must be a valid E-mail ,input.email.validation.type-en-US
input.email.validation.type,de-DE,Muss eine gültige E-Mail sein,input.email.validation.type-de-DE
send-instructions,en-US,Send Instructions,send-instructions-en-US
send-instructions,de-DE,Anweisungen senden,send-instructions-de-DE
roq-home-page,en-US,ROQ-Home Page,roq-home-page-en-US
roq-home-page,de-DE,ROQ-Startseite,roq-home-page-de-DE
forgot-password-cta,en-US,Forgot password?,forgot-password-cta-en-US
forgot-password-cta,de-DE,Passwort vergessen?,forgot-password-cta-de-DE
not-registered-yet,en-US,Don't have an account yet?,not-registered-yet-en-US
not-registered-yet,de-DE,Noch kein Konto?,not-registered-yet-de-DE
already-registered,en-US,Already have an account?,already-registered-en-US
already-registered,de-DE,Sie haben bereits ein Konto?,already-registered-de-DE
input.password.placeholder,en-US,Password,input.password.placeholder-en-US
input.password.placeholder,de-DE,Passwort,input.password.placeholder-de-DE
input.password.validation.required,en-US,Password is a required field,input.password.validation.required-en-US
input.password.validation.required,de-DE,Passwort ist ein Pflichtfeld,input.password.validation.required-de-DE
input.password.validation.strength,en-US,"at least one letter, one number and one special character",input.password.validation.strength-en-US
input.password.validation.strength,de-DE,"mindestens ein Buchstabe, eine Zahl und ein Sonderzeichen",input.password.validation.strength-de-DE
input.password.validation.char-limit,en-US,Have between 8 and 64 characters,input.password.validation.char-limit-en-US
input.password.validation.char-limit,de-DE,Zwischen 8 und 64 Zeichen haben,input.password.validation.char-limit-de-DE
input.password.validation.upper-char-required,en-US,Contain at least 1 upper-case letter,input.password.validation.upper-char-required-en-US
input.password.validation.upper-char-required,de-DE,Mindestens 1 Großbuchstaben enthalten,input.password.validation.upper-char-required-de-DE
input.password.validation.number-required,en-US,Contain at least 1 number,input.password.validation.number-required-en-US
input.password.validation.number-required,de-DE,Mindestens 1 Nummer enthalten,input.password.validation.number-required-de-DE
input.password.validation.special-char-required,en-US,Contain at least 1 special character,input.password.validation.special-char-required-en-US
input.password.validation.special-char-required,de-DE,Mindestens 1 Sonderzeichen enthalten,input.password.validation.special-char-required-de-DE
input.keepMeLoggedIn,en-US,Keep me logged in,input.keepMeLoggedIn-en-US
input.keepMeLoggedIn,de-DE,Eingeloggt bleiben,input.keepMeLoggedIn-de-DE
upload.success.avatar,en-US,Avatar uploaded successfully,upload.success.avatar-en-US
upload.success.avatar,de-DE,Avatar erfolgreich hochgeladen,upload.success.avatar-de-DE
upload.failure.avatar,en-US,Avatar upload failed. Please select the file to upload first.,upload.failure.avatar-en-US
upload.failure.avatar,de-DE,Avatar-Upload fehlgeschlagen. Bitte wählen Sie zuerst die hochzuladende Datei aus.,upload.failure.avatar-de-DE
link-text.change-avatar,en-US,Change Avatar,link-text.change-avatar-en-US
link-text.change-avatar,de-DE,Avatar ändern,link-text.change-avatar-de-DE
link-text.save-avatar,en-US,Save Avatar,link-text.save-avatar-en-US
link-text.save-avatar,de-DE,Avatar Speichern,link-text.save-avatar-de-DE
save,en-US,Save,save-en-US
save,de-DE,Speichern,save-de-DE
edit,en-US,Edit,edit-en-US
edit,de-DE,Bearbeiten,edit-de-DE
input.first-name.name,en-US,First Name,input.first-name.name-en-US
input.first-name.name,de-DE,Vorname,input.first-name.name-de-DE
input.first-name.validation.required,en-US,first name is a required field,input.first-name.validation.required-en-US
input.first-name.validation.required,de-DE,Vorname ist ein Pflichtfeld,input.first-name.validation.required-de-DE
input.first-name.placeholder,en-US,Enter first name,input.first-name.placeholder-en-US
input.first-name.placeholder,de-DE,Bitte vornamen eingeben,input.first-name.placeholder-de-DE
input.last-name.validation.required,en-US,last name is a required field,input.last-name.validation.required-en-US
input.last-name.validation.required,de-DE,Nachname ist ein Pflichtfeld,input.last-name.validation.required-de-DE
input.last-name.name,en-US,Last Name,input.last-name.name-en-US
input.last-name.name,de-DE,Nachname,input.last-name.name-de-DE
input.last-name.placeholder,en-US,Enter last name,input.last-name.placeholder-en-US
input.last-name.placeholder,de-DE,Nachnamen eingeben,input.last-name.placeholder-de-DE
input.locale.validation.required,en-US,Locale is required,input.locale.validation.required-en-US
input.locale.validation.required,de-DE,Gebietsschema ist erforderlich,input.locale.validation.required-de-DE
register-motivator-text,en-US,Here's your first step with us. Let's ROQ,register-motivator-text-en-US
register-motivator-text,de-DE,Hier ist ihr erster schritt bei uns. Lassen sie uns ROQ,register-motivator-text-de-DE
confirm-mail-text,en-US,Confirm your email,confirm-mail-text-en-US
confirm-mail-text,de-DE,Bestätige deine E-Mail,confirm-mail-text-de-DE
registration-mail-sent-text,en-US,We've sent you an email to <strong>{{email}}</strong><br />Click on the link there to continue your registration.,registration-mail-sent-text-en-US
registration-mail-sent-text,de-DE,"Wir haben ihnen eine E-Mail an <strong>{{email}}</strong><br />Klicken sie dort auf den link, um mit ihrer registrierung fortzufahren.",registration-mail-sent-text-de-DE
create-account-cta,en-US,Create Account,create-account-cta-en-US
create-account-cta,de-DE,Benutzerkonto erstellen,create-account-cta-de-DE
roq-reset-password,en-US,ROQ - New Password,roq-reset-password-en-US
roq-reset-password,de-DE,ROQ - Passwort wiederherstellen,roq-reset-password-de-DE
reset-password-cta,en-US,Reset password,reset-password-cta-en-US
reset-password-cta,de-DE,Passwort zurücksetzen,reset-password-cta-de-DE
password-validation-base-text,en-US,Your password must:,password-validation-base-text-en-US
password-validation-base-text,de-DE,Ihr passwort muss:,password-validation-base-text-de-DE
input.new-password.placeholder,en-US,New password,input.new-password.placeholder-en-US
input.new-password.placeholder,de-DE,Neues Kennwort,input.new-password.placeholder-de-DE
input.confirm-new-password.placeholder,en-US,Repeat new password,input.confirm-new-password.placeholder-en-US
input.confirm-new-password.placeholder,de-DE,Wiederhole das neue Passwort,input.confirm-new-password.placeholder-de-DE
input.confirm-new-password.validation.mismatch,en-US,passwords do not match,input.confirm-new-password.validation.mismatch-en-US
input.confirm-new-password.validation.mismatch,de-DE,Passwörter stimmen nicht überein,input.confirm-new-password.validation.mismatch-de-DE
input.confirm-new-password.validation.required,en-US,Confirm password is a required field,input.confirm-new-password.validation.required-en-US
input.confirm-new-password.validation.required,de-DE,Passwort bestätigen ist ein Pflichtfeld,input.confirm-new-password.validation.required-de-DE
roq-future,en-US,The future is in our hands to shape.,roq-future-en-US
roq-future,de-DE,"Die zukunft liegt in unserer hand, um sie zu gestalten.",roq-future-de-DE
input.conversation-name.validation.required,en-US,title is a required field,input.conversation-name.validation.required-en-US
input.conversation-name.validation.required,de-DE,Titel ist ein Pflichtfeld,input.conversation-name.validation.required-de-DE
greeting,en-US,Hi,greeting-en-US
greeting,de-DE,Hallo,greeting-de-DE
confirm-email-text,en-US,please confirm your email address [here] (https://snapshot.roq-one.com/),confirm-email-text-en-US
confirm-email-text,de-DE,bestätige die E-Mail-Addresse [hier] (https://snapshot.roq-one.com/),confirm-email-text-de-DE
confirm-email-button,en-US,Confirm email,confirm-email-button-en-US
confirm-email-button,de-DE,Bestätigungs-E-Mail,confirm-email-button-de-DE
welcome-user-text,en-US,welcome ROQ One Demo,welcome-user-text-en-US
welcome-user-text,de-DE,herzlich Willkommen bei ROQ One Demo,welcome-user-text-de-DE
reset-password-text,en-US,please reset your password by clicking [here] (https://snapshot.roq-one.com/restore-password),reset-password-text-en-US
reset-password-text,de-DE,erstelle [hier] (https://snapshot.roq-one.com/restore-password) ein neues Passwort,reset-password-text-de-DE
reset-password-button,en-US,Reset password,reset-password-button-en-US
reset-password-button,de-DE,Passwort zurücksetzen,reset-password-button-de-DE
random-text,en-US,today no work because it is too hot,random-text-en-US
random-text,de-DE,"heute wird nicht gearbeitet, weil es zu warm ist",random-text-de-DE
invite-text,en-US,[Accept invitation] (https://snapshot.roq-one.com/set-password),invite-text-en-US
invite-text,de-DE,[Einladung annehmen] (https://snapshot.roq-one.com/set-password),invite-text-de-DE
invite-accept-button,en-US,Accept Invite,invite-accept-button-en-US
invite-accept-button,de-DE,Einladung annehmen,invite-accept-button-de-DE
welcome,en-US,Welcome,welcome-en-US
welcome,de-DE,Willkommen,welcome-de-DE
hello,en-US,Hello ,hello-en-US
hello,de-DE,Hallo,hello-de-DE
accept-invite-cta,en-US,Join,accept-invite-cta-en-US
accept-invite-cta,de-DE,Beitreten,accept-invite-cta-de-DE
accept-invite-heading,en-US,You’re invited to join a team!,accept-invite-heading-en-US
accept-invite-heading,de-DE,"Du bist eingeladen, einem Team beizutreten!",accept-invite-heading-de-DE
accept-invite-subheading,en-US,You are invited to join ROQ One Portal. Please set a password.,accept-invite-subheading-en-US
accept-invite-subheading,de-DE,"Sie sind eingeladen, dem ROQ One Portal beizutreten. Bitte legen Sie ein Passwort fest.",accept-invite-subheading-de-DE
info,en-US,Information,info-en-US
info,de-DE,Information,info-de-DE
just-joined-ROQ-One,en-US,just joined ROQ One,just-joined-ROQ-One-en-US
just-joined-ROQ-One,de-DE,hat sich gerade auf ROQ One registiert,just-joined-ROQ-One-de-DE
say-hi-to,en-US,say hi to,say-hi-to-en-US
say-hi-to,de-DE,begrüße,say-hi-to-de-DE
good-morning,en-US,Good Morning,good-morning-en-US
good-morning,de-DE,Guten Morgen,good-morning-de-DE
have-a-good-day,en-US,have a good day,have-a-good-day-en-US
have-a-good-day,de-DE,wir wünschen einen schönen Tag,have-a-good-day-de-DE
upload.in-progress,en-US,Uploading,upload.in-progress-en-US
upload.in-progress,de-DE,Hochladen,upload.in-progress-de-DE
upload.abort,en-US,Stop upload,upload.abort-en-US
upload.abort,de-DE,Upload stoppen,upload.abort-de-DE
upload.success.files,en-US,Uploaded,upload.success.files-en-US
upload.success.files,de-DE,Hochgeladen,upload.success.files-de-DE
drop-uploads-cta,en-US,Drop your files here,drop-uploads-cta-en-US
drop-uploads-cta,de-DE,Legen Sie Ihre Dateien hier ab,drop-uploads-cta-de-DE
drag-uploads-cta,en-US,"Drag your files here, or click to select files",drag-uploads-cta-en-US
drag-uploads-cta,de-DE,"Ziehen Sie Ihre Dateien hierher oder klicken Sie, um Dateien auszuwählen",drag-uploads-cta-de-DE
upload-file-cta,en-US,Upload File,upload-file-cta-en-US
upload-file-cta,de-DE,Datei hochladen,upload-file-cta-de-DE
file-name,en-US,File Name,file-name-en-US
file-name,de-DE,Dateiname,file-name-de-DE
name,en-US,Name,name-en-US
name,de-DE,Name,name-de-DE
owner,en-US,Owner,owner-en-US
owner,de-DE,Eigentümer,owner-de-DE
members,en-US,members,members-en-US
members,de-DE,mitglieder,members-de-DE
size,en-US,Size,size-en-US
size,de-DE,Größe,size-de-DE
pagination.displayed-rows-range,en-US,{from}-{to} of {count},pagination.displayed-rows-range-en-US
pagination.displayed-rows-range,de-DE,{from}-{to} von {count},pagination.displayed-rows-range-de-DE
pagination.rows-per-page,en-US,Rows per page:,pagination.rows-per-page-en-US
pagination.rows-per-page,de-DE,Zeilen pro Seite:,pagination.rows-per-page-de-DE
pagination.first,en-US,First Page,pagination.first-en-US
pagination.first,de-DE,Erste Seite,pagination.first-de-DE
pagination.previous,en-US,Previous Page,pagination.previous-en-US
pagination.previous,de-DE,Vorherige Seite,pagination.previous-de-DE
pagination.next,en-US,Next Page,pagination.next-en-US
pagination.next,de-DE,Nächste Seite,pagination.next-de-DE
pagination.last,en-US,Last Page,pagination.last-en-US
pagination.last,de-DE,Letze Seite,pagination.last-de-DE
action,en-US,Action,action-en-US
action,de-DE,Handlung,action-de-DE
rows,en-US,Rows,rows-en-US
rows,de-DE,Reihen,rows-de-DE
settings-section-title,en-US,Language & Timezone,Settings-section-title-en-US
settings-section-title,de-DE,Sprache und Zeitzone,Settings-section-title-de-DE
timezone-label-text,en-US,Select your timezone,Timezone-label-text-en-US
timezone-label-text,de-DE,Wähle deine Zeitzone aus,Timezone-label-text-de-DE
language-label-text,en-US,Select your language,language-label-text-en-US
language-label-text,de-DE,Wähle deine Sprache aus,language-label-text-de-DE
settings-update-success,en-US,Settings successfully updated,settings-update-success-en-US
settings-update-success,de-DE,Einstellungen erfolgreich aktualisiert,settings-update-success-de-DE
notification-preferences-title,en-US,Notifications,Notification-preferences-title-en-US
notification-preferences-title,de-DE,Benachrichtigungen,Notification-preferences-title-de-DE
general-information-text,en-US,General Information,General-information-text-en-US
general-information-text,de-DE,Allgemeine Informationen,General-information-text-de-DE
roq-notification-text,en-US,ROQ One,Roq-notification-text-en-US
roq-notification-text,de-DE,ROQ One,Roq-notification-text-de-DE
email-notification-text,en-US,E-mail,Email-notification-text-en-US
email-notification-text,de-DE,E-mail,Email-notification-text-de-DE
copyright-footer,en-US,ROQ TECHNOLOGY 2022,Copyright-footer-en-US
copyright-footer,de-DE,ROQ TECHNOLOGY 2022,Copyright-footer-de-DE
password-section-title,en-US,Password,Password-section-title-en-US
password-section-title,de-DE,Passwort,Password-section-title-de-DE
input.current-password.placeholder,en-US,Enter current password,input.current-password.placeholder-en-US
input.current-password.placeholder,de-DE,Aktuelles Passwort eingeben,input.current-password.placeholder-de-DE
invite-new-user,en-US,Invite new user,invite-new-user-en-US
invite-new-user,de-DE,Neuen Benutzer einladen,invite-new-user-de-DE
invite-new-user-subtitle,en-US,Provide below requested information and invite user.,invite-new-user-subtitle-en-US
invite-new-user-subtitle,de-DE,Geben Sie die unten angeforderten Informationen ein und laden Sie den Benutzer ein.,invite-new-user-subtitle-de-DE
invite,en-US,Invite,invite-en-US
invite,de-DE,Einladen,invite-de-DE
invite-was-sent-successfully,en-US,{{count}} user successfully invited. <1>Check invitation status here</1>,invite-was-sent-successfully-en-US
invite-was-sent-successfully,de-DE,{{count}} Benutzer erfolgreich eingeladen. <1>Überprüfen Sie den Einladungsstatus</1>,invite-was-sent-successfully-de-DE
invite-was-sent-successfully_plural,en-US,{{count}} users successfully invited. <1>Check invitation status here</1>,invite-was-sent-successfully_plural-en-US
invite-was-sent-successfully_plural,de-DE,{{count}} Benutzer erfolgreich eingeladen. <1>Überprüfen Sie den Einladungsstatus</1>,invite-was-sent-successfully_plural-de-DE
add-another-user,en-US,Add another user,add-another-user-en-US
add-another-user,de-DE,Einen anderen Benutzer hinzufügen,add-another-user-de-DE
input.email.validation.unique,en-US, Email should be unique, input.email.validation.unique-en-US
input.email.validation.unique,de-DE, E-Mail sollte eindeutig sein, input.email.validation.unique-de-DE
roq-accept-invite,en-US, ROQ Accept Invite,roq-accept-invite-en-US
roq-accept-invite,de-DE, ROQ Einladung annehmen,roq-accept-invite-de-DE
you-are-invited-to-join-roq-one-platform,en-US, You are invited to join ROQ One platform.,you-are-invited-to-join-roq-one-platform-en-US
you-are-invited-to-join-roq-one-platform,de-DE,Sie sind eingeladen der ROQ One-Plattform beizutreten,you-are-invited-to-join-roq-one-platform-de-DE
please-set-a-password,en-US, Please set a password,please-set-a-password-en-US
please-set-a-password,de-DE, Bitte Passwort festlegen,please-set-a-password-de-DE
expired-link-text,en-US, Link is expired,expired-link-text-en-US
expired-link-text,de-DE, Link ist abgelaufen,expired-link-text-de-DE
agree-to-receive-communications-by-email-from-roq, en-US, I agree to receive communications by email from ROQ, agree-to-receive-communications-by-email-from-roq-en-US
agree-to-receive-communications-by-email-from-roq, de-DE, Ich stimme zu Mitteilungen per E-Mail von ROQ zu erhalten, agree-to-receive-communications-by-email-from-roq-de-DE
expired-invitation-text,en-US,Your invitation has expired. Please contact your point of contact,expired-invitation-text-en-US
expired-invitation-text,de-DE,Ihre Einladung ist abgelaufen. Bitte wenden Sie sich an Ihren Ansprechpartner,expired-invitation-text-de-DE
invite-accepted-text,en-US,Invite accepted successfully,invite-accepted-text-text-en-US
invite-accepted-text,de-DE,Einladung erfolgreich angenommen,invite-accepted-textn-text-de-DE
users,en-US,Users,users-en-US
users,de-DE,Benutzer,users-de-DE
user-id,en-US,User ID,user-id-en-US
user-id,de-DE,Benutzeridentifikation,user-id-de-DE
first-name,en-US,First Name,first-name-en-US
first-name,de-DE,Vorname,first-name-de-DE
last-name,en-US,Last Name,last-name-en-US
last-name,de-DE,Nachname,last-name-de-DE
email,en-US,Email address,email-en-US
email,de-DE,E-Mail-Addresse,email-de-DE
locale,en-US,Locale,locale-en-US
locale,de-DE,Gebietsschema,locale-de-DE
timezone,en-US,Timezone,timezone-en-US
timezone,de-DE,Zeitzone,timezone-de-DE
status.default,en-US,Status,status.default-en-US
status.default,de-DE,Status,status.default-de-DE
status.active,en-US,Active,status.active-en-US
status.active,de-DE,Aktiv,status.active-de-DE
status.inactive,en-US,Inactive,status.inactive-en-US
status.inactive,de-DE,Inaktiv,status.inactive-de-DE
user-active,en-US,Active,status.invited-en-US
user-active,de-DE,Aktiv,status.invited-de-DE
opted-in-at,en-US,Opted In At,opted-in-at-en-US
opted-in-at,de-DE,Aktiviert,opted-in-at-de-DE
add-new-user,de-DE,Neuen Benutzer hinzufügen,add-new-user-de-DE
add-new-user,en-US,Add new user,add-new-user-en-US
last-login,de-DE,Letzte Anmeldung,last-login-de-DE
last-login,en-US,Last login,last-login-en-US
user-status,de-DE,Status,user-status-de-DE
user-status,en-US,Status,user-status-en-US
deactivate-user,en-US,Deactivate user,deactivate-user-en-US
deactivate-user,de-DE,Benutzer deaktivieren,deactivate-user-de-DE
messages,en-US,Messages,messages-en-US
messages,de-DE,Nachrichten,messages-de-DE
toggle-theme,en-US,Light/Dark mode,toggle-theme-en-US
toggle-theme,de-DE,Hell/Dunkel-Modus,toggle-theme-de-DE
change-language,en-US,Change language,language-en-US
change-language,de-DE,Sprache wechseln,language-de-DE
account,en-US,Account,account-en-US
account,de-DE,Konto,account--de-DE
profile,en-US,Profile,profile-en-US
profile,de-DE,Profil,profile-de-DE
settings,en-US,Settings,settings-en-US
settings,de-DE,Einstellungen,settings-de-DE
log-out,en-US,Log out,log-out-en-US
log-out,de-DE,Ausloggen,log-out-de-DE
sso-disconnect,en-US,Disconnect,sso-disconnect-en-US
sso-disconnect,de-DE,Trennen,sso-disconnect-de-DE
sso-connected-text,en-US,You are connected with an {{name}} account,sso-connected-text-en-US
sso-connected-text,de-DE,Du bist mit einem {{name}}-Konto verbunden,sso-connected-text-de-DE
sso-connected-multiple-text,en-US,You are connected with multiple accounts,sso-connected-multiple-text-en-US
sso-connected-multiple-text,de-DE,Sie sind mit mehreren Konten verbunden,sso-connected-multiple-text-de-DE
invite-failed,en-US,{{count}} user could not be invited. Please check below,invite-failed-en-US
invite-failed,de-DE,{{count}} Benutzer konnte nicht eingeladen werden. Bitte überprüfen Sie unten,invite-failed-de-DE
invite-failed_plural,en-US,{{count}} users could not be invited. Please check below,invite-failed_plural-en-US
invite-failed_plural,de-DE,{{count}} Benutzer konnten nicht eingeladen werden. Bitte überprüfen Sie unten,invite-failed_plural-de-DE
chat-title,en-US,Messages,chat-title-en-US
no-conversation-selected-message,en-US,Break the ice and start a conversation,no-conversation-selected-message-en-US
